Local TimeFreq mean	I 4 mean	I a mean	I avg mean	I b mean	I c mean	kVA tot mean	kVAR tot mean	kW tot mean	PF lag mean	PF lead mean	V unbal mean	Vll ab mean	Vll avg mean	Vll bc mean	Vll ca mean
04-05-2024 10:00:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	34178.06	34108.14	34229.96	33916.52
04-05-2024 10:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.45	34055.63	33991.29	34120.52	33797.79
04-05-2024 10:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.43	33849.82	33801.05	33943.29	33609.90
04-05-2024 10:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	33708.88	33667.80	33806.61	33487.98
04-05-2024 11:00:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.35	33785.20	33746.94	33873.79	33581.75
04-05-2024 11:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.36	33736.02	33702.53	33836.36	33535.19
04-05-2024 11:30:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.39	33764.15	33720.48	33858.72	33538.54
04-05-2024 11:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	33650.28	33586.35	33715.91	33392.86
04-05-2024 12:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.48	33827.41	33751.11	33874.13	33551.73
04-05-2024 12:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.47	34014.47	33943.93	34065.54	33751.78
04-05-2024 12:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.46	34145.27	34069.95	34183.94	33880.60
04-05-2024 12:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.45	34186.37	34105.35	34200.19	33929.50
04-05-2024 13:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.43	34272.56	34197.21	34290.32	34028.79
04-05-2024 13:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	34460.55	34375.17	34465.98	34199.04
04-05-2024 13:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	34504.97	34404.85	34483.43	34226.16
04-05-2024 13:45:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	34548.54	34451.28	34532.02	34273.29
04-05-2024 14:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.41	34583.75	34496.81	34576.59	34330.11
04-05-2024 14:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.43	34499.47	34412.41	34494.21	34243.49
04-05-2024 14:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	34435.45	34339.45	34414.48	34168.35
04-05-2024 14:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.45	34453.48	34357.33	34440.16	34178.25
04-05-2024 15:00:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	34565.47	34469.56	34546.57	34296.73
04-05-2024 15:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.54	34722.46	34592.75	34670.63	34385.18
04-05-2024 15:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.67	34625.20	34460.42	34527.74	34228.27
04-05-2024 15:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.60	34631.78	34474.36	34527.81	34263.50
04-05-2024 16:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.44	34959.20	34852.54	34906.21	34692.19
04-05-2024 16:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.37	35059.66	34971.76	35019.09	34836.57
04-05-2024 16:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.41	34895.42	34790.77	34837.99	34638.95
04-05-2024 16:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.40	34913.50	34809.88	34852.93	34663.13
